title_processed,abstract_processed
the sri nist 2008 speaker_recognition evaluation_system,the sri speaker_recognition_system for the 2010 nist speaker_recognition evaluation sre incorporates multiple subsystems with a variety of features and modeling techniques we describe our strategy for this years evaluation from the use of speech_recognition and speech segmentation to the individual system descriptions as well as the final combination our results show that under most conditions the cepstral systems tend to perform the best but that other noncepstral systems have the most complementarity the combination of several subsystems with the use of adequate side information gives a 35 improvement on the standard telephone condition we also show that a constrained cepstral system based on nasal syllables tends to be more robust to vocal effort variabilities
rehabilitation of handwriting skills in stroke patients using interactive games a pilot study,this paper describes an interactive application that aims to support the rehabilitation of handwriting skills in people that suffer from paralysis after a stroke the purpose of the application is to make the rehabilitation of handwriting skills fun and engaging four platformindependent games with adjustable levels of difficulty were created in order to target varying levels of skills the application also features a performance history audiovisual feedback and posture reminders it was evaluated with medical staff and patients from the hoensbroeck rehabilitation centre in the netherlands the initial results indicated that the games are more motivating and fun than traditional pen and paper exercises the feedback received from therapists supports our claim that the games are a useful addition to the rehabilitation of handwriting
a digital switching demodulator for electrical_capacitance_tomography,in this paper a digital switching demodulator is presented for use in acbased electrical_capacitance_tomography systems implementing a switching phasesensitive demodulator psd digitally offers the following advantages 1 demodulation can be implemented using a programmable digital device and hence cmos switches which are used in a conventional switching psd are no longer needed 2 compared with the widely used digital quadrature psd this proposed demodulator is simple in configuration because neither a reference signal nor multiplication is required 3 according to the specific requirements the new demodulator can be implemented in two operation modes ie the amplitude mode and the phasesensitive mode and 4 because only subtractions and accumulations are needed the proposed demodulator can be easily implemented with lowcost logic_devices eg a complex programmable_logic_device cpld by simulation the feasibility and effectiveness of the proposed demodulator have been confirmed cpldbased and fieldprogrammablegatearraybased capacitance measurement circuits are constructed and the performances of different demodulation methods are compared both simulation and experiment show that the proposed demodulator can provide demodulation results with high signaltonoise ratio the system design can be simplified using the digital switching demodulator
psychophysical evaluation of insitu ultrasound visualization,we present a novel psychophysical method for evaluating ultrasonography based on realtime tomographic reflection rttr in comparison to conventional ultrasound cus the method measures the users perception of the location of an ultrasoundimaged target independently from assessing the action employed to reach it three experiments were conducted with the sonic flashlight sf an rttr device and cus the first two experiments determined subjects perception of target location with a triangulationbypointing task depth perception with the sf was comparable to direct vision while cus caused considerable underestimation of target depth binocular depth information in the sf was shown to significantly contribute to its superiority the third experiment tested subjects in an ultrasoundguided needle_insertion task because the sf provides visualization of the target at its actual location subjects performed insertions faster and more accurately by using the sf rather than cus furthermore the trajectory analysis showed that insertions with the sf generally went directly to the target along the desired path while cus often led to a large deviation from the correct path consistent with the observed underestimation of target depth these findings lend great promise to the use of rttrbased imaging in clinical practice and provide precise means of assessing efficacy
probabilistic_model_checking of complex biological pathways,probabilistic_model_checking is a formal_verification technique that has been successfully applied to the analysis of systems from a broad range of domains including security and communication_protocols distributed_algorithms and power_management in this paper we illustrate its applicability to a complex biological system the fgf fibroblast growth factor signalling pathway we give a detailed description of how this case study can be modelled in the probabilistic_model checker prism discussing some of the issues that arise in doing so and show how we can thus examine a rich selection of quantitative properties of this model we present experimental results for the case study under several different scenarios and provide a detailed analysis illustrating how this approach can be used to yield a better understanding of the dynamics of the pathway finally we outline a number of exact and approximate techniques to enable the verification of larger and more complex pathways and apply several of them to the fgf case study
a resistancebased approach to consensus algorithm performance_analysis,we study the well known linear consensus algorithm by means of a lqtype performance cost we want to understand how the communication topology influences this algorithm in order to do this we recall the analogy between markov_chains and electrical resistive networks by exploiting this analogy we are able to rewrite the performance cost as the average effective resistance on a suitable network we use this result to show that if the communication graph fulfills some local properties then its behavior can be approximated with that of a suitable grid over which the behavior of the cost is known
energy introspector a parallel composable framework for integrated powerreliabilitythermal modeling for multicore_architectures,
on the use of the source reconstruction method for estimating radiated emi in electronic circuits,electromagnetic_interference emi regulations are a very important issue in the design of almost any electronic circuit over the years cutandtry procedures have been adopted by electronic designers to make circuits comply with these regulations mainly due to the lack of reliable theoretical models of radiated noise and clear design rules to gain new insight into this field a novel approach is presented in this paper based on a wellknown technique in the field of antenna_design ie the source reconstruction method srm its application allows a set of equivalent currents to be obtained that behave exactly like the circuit under consideration with regard to radiated noise from these currents magnetic and electric radiated fields can be obtained at any point in space even at 3 or 10 m away from the circuit where the regulations must be met moreover the equivalent currents accurately represent noise sources in the circuit thus permitting the elements responsible for generating radiated noise to be located the aforementioned method would enable designers to reduce the use of anechoicchamber facilities when testing their designs thereby leaving the chamber only for final certification purposes
mimo cooperative_diversity in a transmit_power limited environment,this paper considers a fading relay_channel where the total_transmit_power used is constrained to be equal to that of the standard singlehop channel the relay_channel used operates in what is termed as mimo cooperative_diversity mode where the source transmits to both relay and destination terminals in the first instance both the source and relay then transmit to the destination in the second instance initially the cooperative_diversity framework is introduced to consider system constraints so a direct and fair comparison with the singlehop case can be made inparticular a power constraint is placed on the system and the optimal transmit_power levels are derived and presented the derived technique for finding the optimal transmit_power levels is then used to demonstrate the advantages of using cooperative_diversity in a wireless_network the results presented show that mimo cooperative_diversity offers a 34 db increase in spectral_efficiency at 5  outage with no additional cost incurred in transmit time power or bandwidth
an exact_solution procedure for multiitem twoechelon spare parts inventory control problem with batch ordering in the central warehouse,we consider a multiitem twoechelon inventory system in which the central warehouse operates under a qr policy and the local warehouses implement basestock policy an exact_solution procedure is proposed to find the inventory control policy parameters that minimize the systemwide inventory holding and fixed ordering cost subject to an aggregate mean response time constraint at each facility
utilitybased admission_control for mobile wimax_networks,this paper presents a novel utilitybased connection_admission_control cac scheme for ieee 80216e broadband_wireless_access networks we develop specific utility_functions for realtime and nonrealtime services coupled with a handover_process given these utility_functions we characterize the network utility with respect to the allocated bandwidth and further propose a cac algorithm which admits a connection that conducts to the greatest utility so as to maximize the total resource utilization the simulation results demonstrate the effectiveness of the proposed cac algorithm in terms of network utility
planetaryscale terrain composition,many interrelated planetary height map and surface image map data sets exist and more data are collected each day broad communities of scientists require tools to compose these data interactively and explore them via realtime visualization while related these data sets are often unregistered with one another having different projection resolution format and type we present a gpucentric approach to the realtime composition and display of unregisteredbutrelated planetaryscale data this approach employs a gpgpu process to tessellate spherical height fields it uses a rendertovertexbuffer technique to operate upon polygonal surface meshes in image space allowing geometry processes to be expressed in terms of image_processing with height and surface map data processing unified in this fashion a number of powerful composition operations may be uniformly applied to both examples include adaptation to nonuniform sampling due to projection seamless blending of data of disparate resolution or transformation regardless of boundary and the smooth interpolation of levels of detail in both geometry and imagery issues of scalability and precision are addressed giving outofcore access to gigapixel data sources and correct rendering at scales approaching one meter
continuous signature monitoring lowcost concurrent detection of processor control errors,a lowcost approach to concurrent detection of processor control errors is presented that uses a simple hardware monitor and signatures embedded into the executing program existing signaturemonitoring techniques detect a large portion of processor control errors at a fraction of the cost of duplication analytical methods developed in this study show that the new approach continuous signature monitoring csm makes major advances beyond existing techniques csm reduces the fraction of undetected controlflow errors by orders of magnitude to less than 10sup 6 while the number of signatures reaches a theoretical minimum being lowered by as much as three times to a range of 411 signature cost is reduced by placing csm signatures at locations that minimize performance loss and for some architectures memory overhead csm exploits the program memorys secded code to decrease errordetection latency by as much as 1000 times to 0016 program memory cycles without increasing memory overhead this short latency allows transient_faults to be tolerated 
traffic monitoring techniques for measurement based flow acceptance control,in this paper we describe the development of a measurement based flow acceptance control mechanism that will support guaranteed services in multiservice packet switched networks using simulation models we present simulation experiments with two monitoring techniques one that monitors the percentile occupancy of queue and the other monitors the mean and variance of packet interarrival times and packet lengths of a continuous media packet stream both these techniques are considered in the development of the measurement based flow acceptance mechanism
using fibonacci compression codes as alternatives to dense codes,recent publications advocate the use of various variable length codes for which each codeword consists of an integral number of bytes in compression applications using large alphabets this paper shows that another tradeoff with similar properties can be obtained by fibonacci codes these are fixed codeword sets using binary representations of integers based on fibonacci numbers of order m ges 2 fibonacci codes have been used before and this paper extends previous work presenting several novel features in particular they compress better and are more robust at the price of being slower
interfinger coordination and postural synergies in robot hands via mechanical implementation of principal_components_analysis,human_hands employ characteristic patterns of actuation or synergies that contain much of the information required to describe an entire hand_shape in some cases 80 or more of the total information can be described with only two scalar component values robotic_hands however commonly only couple intrafinger joints and rarely take advantage of this interfinger coordination in this paper realworld data on a variety of human hand postures was collected using a data glove and principal_components_analysis was used to calculate these synergies resulting in what we call eigenpostures a novel mechanism_design is presented to combine the eigenpostures and drive a 17degreeoffreedom 5fingered robot_hand the hand uses only 2 dc motors to accurately recreate a wide range of hand shapes we also present a design improvement that allows us to distinguish between highprecision and lowprecision tasks as well as greatly reduce overall error
developing process mediator for web service interactions,web service interactions lie in the core of soa due to the autonomy heterogeneity and continuous evolution of web services mediators are usually needed to support service interactions to overcome possible mismatches that may exist among business_processes in this paper we introduce a spacebased architecture for process mediator which considers both controlflow and dataflow present possible mismatch patterns and suggest how they can be automatically mediated our work can be used to perform runtime mediation and thus to facilitate service interactions
multipleview object_recognition in bandlimited distributed camera networks,in this paper we study the classical problem of object_recognition in lowpower lowbandwidth distributed camera networks the ability to perform robust object_recognition is crucial for applications such as visual_surveillance to track and identify objects of interest and compensate visual nuisances such as occlusion and pose_variation between multiple camera views we propose an effective framework to perform distributed object_recognition using a network of smart cameras and a computer as the base_station due to the limited bandwidth between the cameras and the computer the method utilizes the available computational_power on the smart_sensors to locally extract and compress sifttype image_features to represent individual camera views in particular we show that between a network of cameras highdimensional sift histograms share a joint sparse pattern corresponding to a set of common features in 3d such joint sparse patterns can be explicitly exploited to accurately encode the distributed signal via random_projection which is unsupervised and independent to the sensor modality on the base_station we study multiple decoding schemes to simultaneously recover the multipleview object features based on the distributed compressive sensing theory the system has been implemented on the berkeley citric smart camera platform the efficacy of the algorithm is validated through extensive simulation and experiments
change_detection for bridges over water in airborne and spaceborne sar_data,the main advantages of sar are the capability of imaging large areas in short time and delivering data at any day time and under nearly all weather conditions this is especially important for disaster management and continuous long term monitoring applications key elements of manmade infrastructure are bridges especially for bridges over water the sar specific side looking imaging geometry can lead to special characteristics in the image in this paper the possibilities of extracting bridge features like width and height from sar_data especially for bridges over water are discussed the feature_extraction is based on the segmentation of parallel lines in an image an approach is presented to exploit this feature_extraction for change_detection the investigations are supported by sar simulations and real airborne and spaceborne data are presented
variationalbased speckle noise_removal of sar_imagery,in this paper we present a variational_method for synthetic_aperture_radar sar speckle removal variational_method is a newly developed technique for the removal of sars multiplicative_noise for an image we could define an energy functional the energy evolves as the original image changes and the minimum energy corresponds to the speckle reduced result partial_differential_equation pde technique is used to get the minimal solution our energy functional makes use of the statistical information of the multiplicative_noise since it follows a gamma law with mean mu  1 and variance sigma 2   1m for mlook sar our energy is a regularization term with two constraints the regularization term is the integral for the norm of image gradient two constraints are the mean of noise should be 1 and the variance of noise should be 1m we use the method of lagrange multipliers eulerlagrange equation and heat flow method to obtain the minimizer of the energy ers precision image pri data are to demonstrate our algorithm numerical result shows that the speckle reduced image preserves edges and point_targets while smoothes homogenous regions in the original image the algorithm is computationally efficient and easy to implement
clusterbased distributed consensus,in this paper we incorporate clustering_techniques into distributed consensus algorithms for faster convergence and better energy efficiency together with a simple distributed clustering_algorithm we design clusterbased distributed consensus algorithms in forms of both fixed linear iteration and randomized gossip the time complexity of the proposed algorithms is presented in terms of metrics of the original and induced graphs through which the advantage of clustering is revealed our clusterbased algorithms are also shown to achieve an omegalog n gain in message_complexity over the standard ones
xisuml profile for extreme modeling interactive systems,the first version of the xis profile addressed the development of interactive systems by defining models oriented only towards how the system should perform tasks however issues such as userinterface layouts or the capture of interaction patterns were not addressed by the profile but only by the sourcecode generation process this originated systems that although functional were considered by endusers as difficult to use in this paper we present the second version of the xis uml_profile which is now a crucial component of the projectit research project this profile follows the separation_of_concerns principle by proposing an integrated set of views that address the various issues detected with the previous version of xis in addition this profile also promotes the usage of extreme modeling by relying on the extensive use of modeltomodel transformation templates that are defined to accelerate the model development tasks
forward acknowledgement refining tcp_congestion_control,we have developed a forward acknowledgment fack congestion_control_algorithm which addresses many of the performance problems recently observed in the internet the fack algorithm is based on first principles of congestion_control and is designed to be used with the proposed tcp sack option by decoupling congestion_control from other algorithms such as data recovery it attains more precise control over the data flow in the network we introduce two additional algorithms to improve the behavior in specific situations through simulations we compare fack to both reno and reno with sack finally we consider the potential performance and impact of fack in the internet
inservice signal quality estimation for tdma cellular_systems,inservice interference plus noise_power in and signaltointerference plus noise_power siin estimation methods are examined for tdma cellular_systems a simple in estimator is developed whose accuracy depends on the channel and symbol estimate error statistics improved in and sin estimators are developed whose accuracy depends only on the symbol error statistics the proposed estimators are evaluated through software simulation with an is54 frame_structure for high speed mobiles it is demonstrated that sin can be estimated to within 2 db in less than a second
embedding agents within the intruder to detect parallel attacks,we carry forward the work described in our previous papers 51820 on the application of data independence to the model_checking of security_protocols using csp 19 and fdr 10 in particular we showed how techniques based on data independence 1219 could be used to justify by means of a finite fdr check systems where agents can perform an unbounded number of protocol runs whilst this allows for a more complete analysis there was one significant incompleteness in the results we obtained while each individual identity could perform an unlimited number of protocol runs sequentially the degree of parallelism remained bounded and small to avoid state_space explosion in this paper we report significant progress towards the solution of this problem by means anticipated in 5 namely by internalising protocol roles within the intruder process the internalisation of protocol roles initially only servertype roles was introduced in 20 as a statespace reduction technique for which it is usually spectacularly successful it was quickly noticed that this had the beneficial sideeffect of making the internalised server arbitrarily parallel at least in cases where it did not generate any new values of data independent type we now consider the case where internal roles do introduce fresh values and address the issue of capturing their state of mind for the purposes of analysis
can the web be made accessible for people with intellectual disabilities,this article presents the findings of a research project that aimed to contribute to the social inclusion of people with intellectual disabilities id in the world_wide_web the web the inclusive new media design inmd project brought together thirtyone web designers and developers with twentynine people with intellectual disabilities to explore the best practice for building web sites accessible to the id community specifically the project took accessibility techniques identified in id accessibility research and investigated what would or would not make it possible for web professionals to implement them this article suggests some tentative answers to the question of whether a fully accessible web can be built one that includes people with id while the article outlines simple steps that can be taken to facilitate accessibility for people at the mild end of the id spectrum it also highlights a number of barriers that exist to implementing id accessibility guidance most notably the power holders and decision makers with whom web designers work who may not share the designers commitment to accessibility
a parallel_implementation of a fast multipole based 3d capacitance extraction program on distributed_memory multicomputers,very fast and accurate 3d capacitance extraction is essential for interconnect optimization in ultra deep submicro designs udsm parallel_processing provides an approach to reducing the simulation turnaround time this paper examines the parallelization of the well known fast multipole based 3d capacitance extraction program fastcap which employs new preconditioning and adaptive techniques to account for the complicated data dependencies in the unstructured problems we propose a generalized cost function model which can be used to accurately measure the workload associated with each cube in the hierarchy we then present two adaptive partitioning schemes combined with efficient communication mechanisms with bounded buffer size to reduce the parallel_processing overhead the overall load balance is achieved through balancing the load at each level of the multipole computation we report detailed performance results using a variety of standard benchmarks on 3d capacitance extraction on an ibm sp2
camera parameters autoadjusting technique for robust robot vision,how to make vision_system work robustly under dynamic light conditions is still a challenging research focus in computerrobot vision community in this paper a novel camera parameters autoadjusting technique based on image entropy is proposed firstly image entropy is defined and its relationship with camera parameters is verified by experiments then how to optimize the camera parameters based on image entropy is proposed to make robot vision adaptive to the different light conditions the algorithm is tested by using the omnidirectional vision in indoor robocup middle size league environment and the perspective camera in outdoor ordinary environment and the results show that the method is effective and color_constancy to some extent can be achieved
new but not improved  a critical examination of revisions to the regulation of investigatory powers act 2000 encryption provisions,considering the criminal uses of encryption it has been asserted that national security and law enforcement endeavours must not be frustrated by potential evidence being hidden through digital encryption while the encryption_key is withheld the facilitation of state access to encryption keys through the regulation of investigatory powers act 2000 ripa 2000 was intended to address precisely such a danger however since this statutes enactment there have been significant shifts in law and policy relating to terrorism and child pornography as well as important technological developments this article critically examines changes to the ripa 2000 encryption provisions made by the terrorism act 2006 and the policing and crime act 2009 it also considers emerging statistical data and cases including r v sf 2008 it concludes that the underlying premises of the revised provisions are flawed the provisions themselves ineffectual in practice and in the longer term potentially open to mission creep to cover lesser offences
the metadesk models and prototypes for tangible_user_interfaces,the metadesk is a user_interface platform demonstrating new interaction_techniques we call tangible user inter faces we explore the physical instantiation of interface elements from the graphical_user_interface paradigm giving physical form to windows icons handles menus and controls the design and implementation of the metadesk display sensor and software_architectures is discussed a prototype application driving an interaction with geographi cal space tangible geospace is presented to demonstrate these concepts
a motivation for ubuntu to enhance elearning social_network_services in south africa,this paper acknowledges the move from the contentcentric to the networkcentric approach to teaching_and_learning using social_network_services snss in higher education the south african cultural context is explained with a view to reconciling this with current snss finally a way forward is proposed for developing snss particular to the southern african cultural context
recent experiences utilizing terrasarx for the monitoring of natural disasters in different parts of the world,pasco in approximately 4 years after the launch of terrasarx tsx has successfully carried out a total 22 studies of disaster response for the worldwide and domestic cases the outline and a part of the conducted cases are explained in detailed in this paper
ther an authorization management architecture for ubiquitous_computing ,the ubiquitous_computing paradigm suggests that we are going to be surrounded by countless wireless devices capable of providing services trans parently by definition the nature of ubiquitous computing_environments is open and extremely dynamic making difficult the establishment of predefined security relationships between all of the participating entities authentication_mechanisms can be employed to establish the identity of a pervasive_computing entity but they suffer from scalability problems and have limited value in defin ing authorization decisions among strangers in this paper we propose aether an authorization management architecture designed specifically to address trust establishment and access_control in ubiquitous computing_environments own ers define attribute authority sets and access_control_policy entries that are em bedded into their devices members of the attribute authority sets are trusted to issue credentials for the corresponding attributes that can then be used in order to gain access to protected resources our architecture supports dynamic mem bership in these sets facilitating distributed administration which is required in the context of the volatile nature of ubiquitous security relationships and at tribute mapping to allow roaming among authority domains moreover we pre sent the foundation of a logic model for our proposed architecture that is used to prove access_control_decisions
utilizing semantic caching in ubiquitous_environment,semantic caching is a dynamic caching strategy which deals with not only exact but also inexact similar queries in this manner each query will be carefully analyzed by the cache manager to identify the part that can be found in the cache from the part that needs to be retrieved from the server this trimming process not only speeds up information_retrieval but also saves on communication_cost especially for mobile and wireless devices therefore query trimming is a key problem in mobile and wireless environment and devices in this environment have limited connection time bandwidth and battery power however the existing methods for query trimming have a number of limitations such as inefficiency in time space and the complexity of the algorithm used for trimming these factors restrict the applicability of semantic caching for many applications in this paper we investigate the shortcomings of query trimming process and propose a new solution to improve this process
a study on using hierarchical basis error_estimates in anisotropic mesh adaptation for the finite_element_method,a common approach for generating an anisotropic mesh is the muniform mesh approach where an adaptive mesh is generated as a uniform one in the metric specified by a given tensor m a key component is the determination of an appropriate metric which is often based on some type of hessian recovery recently the use of a global hierarchical basis error estimator was proposed for the development of an anisotropic metric tensor for the adaptive finite element solution this study discusses the use of this method for a selection of different applications numerical_results show that the method performs well and is comparable with existing metric tensors based on hessian recovery also it can provide even better adaptation to the solution if applied to problems with gradient jumps and steep boundary layers for the poisson problem in a domain with a corner singularity the new method provides meshes that are fully comparable to the theoretically optimal meshes
believable judge bot that learns to select tactics and judge opponents,this paper describes our believable judge bot icecig2011 that has an ability to learn tactics from a judge player and an ability to judge an opponent character as a human or a bot we conjecture that a bot with these two abilities should be considered humanlike in a competition environment such as botprize where human players participate to compete not only for being the most humanlike player but also the best judge main contributions of this work lie in our mechanisms for achieving these two abilities to achieve the former ability we develop a system and gui that allow a selected judge player  whose role is to train icecig2011  to control his or her character by only deciding which tactic to use under a given situation we then obtain the judges tactic log and use it for training tactic selection of icecig2011 with neuro evolution of augmenting topologies to achieve the latter ability we acquire additional logs when the judge character interacts with other opponent characters in order to represent the play of a known bot or human character we train a neural gas  a kind of selforganizing neural_network  from its log for an unknown character once its neural gas is trained after a certain period of observation icecig2011 decides if it is a human or bot by using the ifnearestneighbor algorithm this algorithm considers the majority in the labels of the ifnearest neural gases of known characters to the neural gas of that unknown character experimental results are given and discussed concerning these two abilities of icecig2011
typebased parametric analysis of program families,previous research on static_analysis for program families has focused on lifting analyses for single plain programs to program families by employing idiosyncratic representations the lifting effort typically involves a significant amount of work for proving the correctness of the lifted algorithm and demonstrating its scalability in this paper we propose a parameterized static_analysis framework for program families that can automatically lift a class of typebased static analyses for plain programs to program families the framework consists of a parametric logical specification and a parametric variational constraint solver we prove that a lifted algorithm is correct provided that the underlying analysis algorithm is correct an evaluation of our framework has revealed an error in a previous manually lifted analysis moreover performance tests indicate that the overhead incurred by the general framework is bounded by a factor of 2
polar write once memory codes,a coding_scheme for write once memory wom using polar_codes is presented it is shown that the scheme achieves the capacity_region of noiseless woms when an arbitrary number of multiple writes is permitted the encoding and decoding complexities scale as on log n where n is the blocklength for n sufficiently large the error probability decreases subexponentially in n some simulation results with finite length codes are presented
tolerance towards sensor failures an application to a double inverted pendulum,in this paper we present a sensor fault_tolerance control scheme that is applied to a double inverted pendulum sensor faults will affect the system when it is used in closedloop feedback the scheme uses a linear observer reconstruct the sensor fault and to subtract the reconstruction from the faulty sensor the net result is then used for the closedloop feedback it was found that the scheme restored the performance to the faultfree scenario
on the expressiveness of coordination models,a number of different coordination models for specifying interprocess communication and synchronisation rely on a notion of shared dataspace many of these models are extensions of the linda coordination model which includes operations for adding deleting and testing the presenceabsence of data in a shared dataspacernrnwe compare the expressive power of three classes of coordination models based on shared dataspaces the first class relies on lindas communication primitives while a second class relies on the more general notion of multiset rewriting eg like bauhaus linda or gamma finally we consider a third class of models featuring communication transactions that consist of sequences of lindalike operations to be executed atomically eg like in shared prolog or polis
manifold alignment for multitemporal hyperspectral_image_classification,while spectral and temporal advantages of multitemporal hyperspectral_images provide opportunities for advancing classification of time varying phenomena significant challenges are associated with high_dimensionality and nonstationary signatures while manifold_learning retains critical geometry and develops a low dimension space where class clusters are recovered spectral changes in temporal imagery impact the fidelity of the geometric representation of class dependent data in this paper we investigate a manifold alignment framework that exploits prior_information while exploring similar local structures the aim is to make use of common underlying geometries of two multitemporal images and embed the resemblances in a joint data manifold for classification_tasks promising results support the advantages of the proposed manifold alignment approach
incremental rule learning based on example nearness from numerical data_streams,mining data_streams is a challenging task that requires online_systems based on incremental learning approaches this paper describes a classification_system based on decision_rules that may store uptodate border examples to avoid unnecessary revisions when virtual drifts are present in data consistent rules classify new test examples by covering and inconsistent rules classify them by distance as the nearest_neighbor algorithm in addition the system provides an implicit forgetting heuristic so that positive and negative examples are removed from a rule when they are not near one another
elements of prescribed order prescribed traces and systems of rational functions over finite_fields,let k  1 and f1   fr  fqk x be a system of rational functions forming a strongly linearly independent set over a finite_field fq let 1  r  fq be arbitrarily prescribed elements we prove that for all sufficiently large extensions fqkm there is an element   fqkm of prescribed order such that trfqkmfq fi  i for i  1  r where trfqkmfq is the relative trace map from fqkm onto fq we give some applications to bch codes finite_field_arithmetic and ordered orthogonal arrays we also solve a question of helleseth et al hypercubic 4 and 5designs from doubleerrorcorrecting codes des codes cryptgr 282003 pp 265282 completely
the experimental evaluation of knowledge_acquisition techniques and methods history problems and new directions,the special problems of experimentally evaluating knowledge_acquisition and knowledge_engineering tools techniques and methods are outlined and illustrated in detail with reference to two series of studies the first is a series of experiments undertaken at nottingham university under the aegis of the uk alvey initiative and the esprit project acknowledge the second is the series of sisyphus benchmark studies a suggested programme of experimental evaluation is outlined which is informed by the problems with using sisyphus for evaluation
a domainspecific modeling_language for scientific_data composition and interoperability,domainspecific modeling_languages dsmls can offer assistance to domain_experts who may not be computer scientists by providing notations and semantic constructs that align with abstractions from a particular domain in this paper we describe our design and application of a dsml in the area of data composition and interoperability in particular we introduce our recent effort to design a dsml to assist with interoperability issues across scientific software applications eg composing scientific_data in different file structures and integrating scientific_data with data_gathering devices currently several different scientific_data file specifications have been proposed eg cid netcdf and hdf each file specification is optimized to manage a specific data type efficiently thus each file specification has evolved with slightly different notions and implementation technologies these differences led to the need for an environment that provides interoperability among the different specification formats in this paper we introduce our framework supported by a dsml that provides functionality to visually model the data composition and integration concepts independent from a particular data file specification
migrating autonomic selftesting to the cloud,the cloud_computing model continues to gain much attention from software_industry practitioners as such leading companies are investing in the development packaging and delivery of cloud_services over the internet however although much work is being done to model and build cloud applications and services there is significantly less research devoted to testing them in this paper we describe our researchinprogress towards migrating autonomic selftesting ast to the cloud our approach combines the development of an automated test harness for a cloud_service with the delivery of test support asaservice tsaas both ast and tsaas are supported by a virtual test environment which utilizes the power of the cloud to enhance the selftesting process
a cmos fifthorder lowpass currentmode filter using a linear transconductor,in this paper the design and analysis of a cmos fifthorder lowpass gmc filter are presented it has a cutoff frequency of 43 mhz to accommodate the wideband cdma standard the transconductor used in this filter is based on a fourtransistor cell operating in triode or saturation mode it achieves high linearity range of spl plusmn 1 v at spl plusmn 15 v supply voltages pspice simulations show that total harmonic distortion at 1 vpp and 1 mhz is equal to 01 with 1234 mw standby power dissipation the proposed filter and the transconductor are simulated using 035 spl mum technology
inverse_problems theory and application analysis of the twotemperature method for landsurface temperature and emissivity estimation,the twotemperature method ttm allows the separation of landsurface temperature and landsurface emissivity information from radiance measurements and therefore the solution can be uniquely determined by the data however the inverse_problem is still an illposed problem since the solution does not depend continuously on the data accordingly we have used some mathematical tools which are suited for analyses of illposed problems in order to show ttm properties evaluate it and optimize its estimations related to this last point we have shown that it is necessary to constrain the problem either by defining a region of physically admissible solutions andor by using regularization_methods in order to obtain stable results besides the results may be improved by using ttm with systems that possess a high temporal resolution as well as by acquiring observations near the maximum and minimum of the diurnal temperature range
operating rules classification_system of water supply reservoir based on lcs,genetic algorithmbased learning classifier system lcs is a massively parallel messagepassing and rulebased machine_learning system but its potential selfadaptive learning capability has not been paid enough attention in reservoir operation research in this paper an operating rule classification_system based on lcs  which learns through credit assignment the bucket brigade algorithm and rule discovery the genetic_algorithm is established to extract watersupply reservoir operating rules the proposed system acquires the online identification rate 95 for training_samples and offline rate 85 for testing samples in a case study and further discussions are made about the impacts on the performances or behaviors of the rule classification_system from three aspects of obtained rules training or testing samples and the comparisons between the rule classification_system and the artificial_neural_network ann the results indicate the learning classifier system is feasible and effective for the system to obtain the reservoir supply operating rules
